gene_id,gene_name,gt,paean,salmon,kallisto,featureCounts,rsem,paean_acc,salmon_acc,kallisto_acc,featureCounts_acc,rsem_acc
ENSG00000160214.13,RRP1,9,7,3,5,7,3,77.77777778,33.33333333,55.55555556,77.77777778,33.33333333
ENSG00000248600.2,AC025465.2,16,15,8,10,7,6,93.75,50,62.5,43.75,37.5
ENSG00000248538.8,AC022784.1,119,100,64,50,93,35,84.03361345,53.78151261,42.01680672,78.1512605,29.41176471
ENSG00000261456.6,TUBB8,2,1,1,1,1,1,50,50,50,50,50
ENSG00000135902.10,CHRND,35,33,21,27,33,18,94.28571429,60,77.14285714,94.28571429,51.42857143
ENSG00000059691.12,GATB,51,49,39,46,49,33,96.07843137,76.47058824,90.19607843,96.07843137,64.70588235
ENSG00000145191.15,EIF2B5,130,113,74,74,113,51,86.92307692,56.92307692,56.92307692,86.92307692,39.23076923
ENSG00000100490.9,CDKL1,115,92,48,54,88,25,80,41.73913043,46.95652174,76.52173913,21.73913043
ENSG00000066557.6,LRRC40,21,19,18,15,19,12,90.47619048,85.71428571,71.42857143,90.47619048,57.14285714
ENSG00000226752.9,CUTALP,2,0,0,0,0,0,0,0,0,0,0
ENSG00000187048.13,CYP4A11,26,22,19,15,22,9,84.61538462,73.07692308,57.69230769,84.61538462,34.61538462
ENSG00000137601.17,NEK1,18,15,12,12,15,9,83.33333333,66.66666667,66.66666667,83.33333333,50
ENSG00000239921.6,LINC01471,33,31,24,20,29,12,93.93939394,72.72727273,60.60606061,87.87878788,36.36363636
ENSG00000086015.22,MAST2,5,3,2,3,3,1,60,40,60,60,20
ENSG00000165338.17,HECTD2,1787,1726,1371,1657,1726,1158,96.58645775,76.72076105,92.72523783,96.58645775,64.80134303
ENSG00000196912.12,ANKRD36B,18,17,16,15,17,10,94.44444444,88.88888889,83.33333333,94.44444444,55.55555556
ENSG00000235218.2,DNAJC17P1,3,2,2,1,2,0,66.66666667,66.66666667,33.33333333,66.66666667,0
ENSG00000167767.14,KRT80,129,120,100,114,120,77,93.02325581,77.51937984,88.37209302,93.02325581,59.68992248
ENSG00000139370.12,SLC15A4,522,500,409,459,500,324,95.78544061,78.35249042,87.93103448,95.78544061,62.06896552
ENSG00000224935.2,AL589678.1,369,323,238,141,322,81,87.53387534,64.49864499,38.21138211,87.26287263,21.95121951
ENSG00000166135.14,HIF1AN,33,29,18,20,29,10,87.87878788,54.54545455,60.60606061,87.87878788,30.3030303
ENSG00000259966.6,AC137800.1,9,6,2,4,6,0,66.66666667,22.22222222,44.44444444,66.66666667,0
ENSG00000196756.13,SNHG17,68,65,49,52,62,39,95.58823529,72.05882353,76.47058824,91.17647059,57.35294118
ENSG00000131378.14,RFTN1,309,290,211,233,275,148,93.85113269,68.28478964,75.40453074,88.99676375,47.89644013
ENSG00000079337.16,RAPGEF3,3,2,2,2,2,1,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333
ENSG00000147689.16,FAM83A,6,3,1,1,1,1,50,16.66666667,16.66666667,16.66666667,16.66666667
